ïgeographicidentifiercode,id2,geographicareaname,naicscode,meaningof2007naicscode,year,numberofestablishments,receipts1000,v9
0500000US50021,50021,"Rutland County, Vermont",0,Total for all sectors,2012,5161,181135,-0.040827133
0500000US50023,50023,"Washington County, Vermont",0,Total for all sectors,2012,6088,241142,0.024501328
0500000US50025,50025,"Windham County, Vermont",0,Total for all sectors,2012,5192,188676,-0.040495527
0500000US50027,50027,"Windsor County, Vermont",0,Total for all sectors,2012,6157,239457,-0.006682762
0500000US09001,9001,"Fairfield County, Connecticut",0,Total for all sectors,2013,88363,6108595,-0.016989713
0500000US09003,9003,"Hartford County, Connecticut",0,Total for all sectors,2013,56271,3052857,0.011573835
0500000US09005,9005,"Litchfield County, Connecticut",0,Total for all sectors,2013,16961,923775,-0.010914709
0500000US09007,9007,"Middlesex County, Connecticut",0,Total for all sectors,2013,13156,724382,-0.00385596
0500000US09009,9009,"New Haven County, Connecticut",0,Total for all sectors,2013,57091,2961071,-0.008255298
0500000US09011,9011,"New London County, Connecticut",0,Total for all sectors,2013,15978,754827,0.007080532
0500000US09013,9013,"Tolland County, Connecticut",0,Total for all sectors,2013,9190,433194,-0.022124403
0500000US09015,9015,"Windham County, Connecticut",0,Total for all sectors,2013,6501,283869,-0.019000093
0500000US23001,23001,"Androscoggin County, Maine",0,Total for all sectors,2013,5969,269906,-0.0065078
0500000US23003,23003,"Aroostook County, Maine",0,Total for all sectors,2013,4148,159427,-0.062668297
0500000US23005,23005,"Cumberland County, Maine",0,Total for all sectors,2013,26119,1296097,0.033047885
